"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.9558708661416","45.0748709458676","44.0939870494095","46.8718805701389","35.8613840448959","1.18542974235897","34.3766659335553","20.2325886166466","26.188566812868","75.9912791640348","82.2470954774073","77.6860122275799","74.968215078819","74.6730231596363","68.2935880674196","59.0342317165632","50.346781623236","44.1068343260307","41.646370611864","43.6268850808441","",
"Africa Eastern and Southern","AFE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","28.702416035701","","","","24.0660675388396","18.3502486000488","14.893171711728","15.3912399194566","","","","","","","","","","","","","","","","","","","17.306763671182","17.1412450563421","16.9110727533612","16.3830334661074","15.346543409816","14.5007947062405","12.8885836993295","9.48322719347998","12.6841111949046","11.23306994656","11.0793568913068","9.28231594054137","10.1310165358548","11.8439843939821","11.0608654491725","12.4382498435637","12.9070095375956","12.8746082788732","12.46523267116","","",
"Afghanistan","AFG","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","31.9470263425352","26.5191195162239","32.6032644912823","41.0674612740749","35.6494932322441","40.8758669399891","41.8283306892529","38.1484310185785","36.0646488583384","27.0212778139966","37.2380701578545","48.6209869747101","43.9132390487261","36.4285790011076","35.8671796746646","36.0656113061744","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5240811767024","54.6793195830966","40.0470709660653","39.1451752009078","17.4372227678394","13.6385047989984","14.4956237464036","48.4561085378175","56.9188752183133","","65.8965628978435","","",
"Africa Western and Central","AFW","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","57.8800373637274","55.7270376271793","54.4247203249937","49.8027712691943","45.2334087761708","48.1332559993638","54.8407438008873","44.3175914723151","37.3520326965599","29.1126899939902","25.1045223148393","22.1892366861505","19.4843833083415","18.4216856419055","17.0942476357695","19.8692087585085","20.8141962869607","21.5267130050273","","17.4946943529717","","16.1058580403327","9.54991022941612","9.27820700295149","","","","","","","","","","","11.3616827328961","9.40365873299538","10.6655854403311","9.92447926756236","9.20678323335794","9.72346682052254","8.87761236068399","10.2557895658641","","","8.14303469147036","8.6674179627289","8.75954989455688","11.5568926135082","10.5956559497327","9.61082161138716","10.765540363061","10.1331757837423","9.61746057124551","11.8788775051478","12.250156251978","11.1558100654557","11.1535947693312","9.78953846680956","",
"Angola","AGO","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","65.4948250283107","","","","","","","49.6879365782789","44.6914173841939","45.4215406441069","42.0728397647753","40.5979116169701","27.629100995664","","","","23.2765767097271","14.3422470079383","8.69300388031106","5.23992346722768","","","","","","","","","0.234865204394267","0.305922032815841","","","","","","","","","","","","","","","","0.0973082531799098","","0.0811537682127195","0.054445159884038","0.0387043596246223","0.0631199240339422","0.0734540911945984","0.0851709530224955","0.314687389090197","0.605231812859336","0.422552709861459","0.339628133981116","","",
"Albania","ALB","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.0931924918206","11.1106507877978","9.82044431818301","5.52977337734796","6.62795190197749","5.78985653392675","3.56458201253854","5.62901128428925","5.79731260967209","9.76458919983876","7.94445974938703","5.30440256077302","4.33398211749593","5.66901702390689","4.50730701001624","4.1596013315431","4.62273480006288","4.54802602225408","3.00290920278718","5.64320499416085","8.26601556448342","9.68598041588214","9.07472022473736","","",
"Andorra","AND","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.50849504865162","6.4759250830353","9.48420329304032","10.7273028507146","10.9177284293098","8.1987590163772","4.92858266583827","3.95143813795803","6.33199892386512","11.612928297178","28.8589023240436","30.2580095264274","2.10286961437142","14.6703788240672","10.3242070921165","0.824917150287035","0.646873750495658","1.18959059456585","0.476053019067834","1.23638645475137","1.0998142107207","0.790486646888988","0.710340060796701","0.568385870571454","","",
"Arab World","ARB","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","6.59506119841855","6.31056093784456","","","2.99173397060667","3.04646944962873","","","","","","","","","","","","1.5761559709983","2.13092897748025","3.96471093586658","","","","","","3.11925890107445","1.98751658519486","2.1427060947647","2.28010986612284","2.15138126795019","2.19122464392511","2.84482124897572","1.90104639803046","1.89607757100368","1.94214084102739","2.68012224822632","2.4240734151845","2.17392728970809","2.31326409569896","2.28709625392435","2.58601673251438","3.9085394100023","3.11683473268185","3.36179693233412","4.50878814624923","4.4105117422681","",
"United Arab Emirates","ARE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","1.21361266694696","1.87441595741752","","","","5.86911589254474","","","","","","","","1.94319429485319","3.67493823730829","7.56320261060369","","","","","","0.884048802066568","0.571437830931945","0.811991621403645","0.642647300213983","0.841162591390838","0.852279520957668","1.09002318296894","0.88383649051113","0.889205337320246","0.816996179047525","1.13910490140005","1.38784702364875","1.32693477837301","1.48346733252165","1.23046734215002","1.47701576688815","1.91155294992918","2.24593181791235","2.03083625769119","4.20723882153237","3.00337287402885","",
"Argentina","ARG","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","71.5167223633344","72.1241541588727","77.2266517724288","81.6353758360789","77.9182522915024","76.8299597678787","72.7400804506803","73.8757029594811","74.3184088352766","76.6992729476363","71.7539030834867","69.9073242543211","70.517253346656","68.8689882099692","68.2431551244986","68.7878167390924","65.446102521047","69.401213547257","64.9548396689522","66.8359508767248","62.5132745031883","74.9687054919103","73.4018510897571","66.0707880476956","66.6284777507564","61.0593445750818","","","","","61.0130433964766","55.2876092343831","51.8166376977356","49.7881907475278","51.9243431309429","48.6027501111139","50.5997700697432","49.1711930000543","43.6244523735379","44.2313342975993","45.6788253892065","49.0294871977296","47.7752069830924","46.464867640411","44.5977443215927","50.4037620965632","52.5963047857027","49.5585979873236","49.639895808739","52.151922303518","52.1628344068289","54.3964098823728","54.346183406447","59.9397423992323","62.8534166501818","59.8249232905339","54.4531680056896","58.7665374092182","",
